0	920.181274	2	3615.31372	2114052	1001;0,23101;0.028662324
1	920.182556	2	3611.18604	2460780	1001;0,23101;0
2	920.183777	2	3606.45581	4764056	1001;0,23101;0.0862734318

0	631.283569	3	3615.63135	165642	22301;0,506801;0.0247105956
1	631.283081	3	3612.23779	178134	22301;0.00352758169,506801;0.0212579966
2	631.282837	3	3607.62891	284572	22301;0,506801;0

0	633.311279	3	3607.51685	512430	0;0
1	633.312012	3	3607.24902	437820	0;0.00165271759
2	633.312866	3	3601.60864	418652	0;0.0860505104

0	664.317932	3	3611.72144	81998	6801;0
1	664.318237	3	3613.55615	72218	6801;0
2	664.316345	3	3608.55957	38412	6801;0.0723382235

0	688.858582	2	3614.41846	384430	7701;0,9201;0
1	688.859558	2	3611.90674	423910	7701;0,9201;0
2	688.861572	2	3608.28979	617522	7701;0.116892993,9201;0

0	700.376892	2	3616.65015	16902408	6101;0,674501;0
1	700.377258	2	3611.53442	17721466	6101;0,674501;0.0144582987
2	700.379028	2	3607.96484	25416918	6101;0,674501;0.0503005981
2	700.378967	2	3607.96484	25416918	6101;0.0804139972,674501;0.0937096477

0	725.024902	3	3600.7146	149294	0;0
1	725.027649	3	3600.8894	145212	0;0.0446128249
2	725.033142	3	3602.73193	80680	0;0.128914177

0	450.775818	2	3616.78052	50772	1144601;0.0467207432
1	450.776215	2	3613.76636	81032	1144601;0.0446122885
2	450.778168	2	3609.28906	185748	1144601;0

0	484.891205	3	3617.68774	29626	1145201;0.181697309
1	484.890869	3	3614.71191	27520	1145201;0.180392981
2	484.891815	3	3607.38135	22346	1145201;0
2	484.89447	3	3611.41431	19984	1145201;0

0	815.443909	2	3612.41187	122586	10401;0,19701;0,1150701;0.0536935925
1	815.444275	2	3611.04102	228602	10401;0.000483334064,19701;0,1150701;0.0532360077
2	815.44751	2	3607.6792	526152	10401;0.0536935925,19701;0,1150701;0

0	972.943115	2	3611.67163	511020	7601;0.00220996141,28301;0.0221767426
1	972.942444	2	3611.75342	395806	7601;0,28301;0.0200110078
2	972.945068	2	3609.12744	664886	7601;0,28301;0

0	469.969727	4	3615.29736	432560	676701;0,926401;0.00704789162,931301;0.00704789162,1142001;0.00865340233
1	469.970642	4	3611.14502	481840	676701;0.00704789162,926401;0,931301;0,1142001;0.0016168952
2	469.971588	4	3608.85693	708898	676701;0.00865340233,926401;0.0016168952,931301;0.0016168952,1142001;0

0	471.465759	4	3614.00757	145518	675501;0,679501;0,1140501;0.00304812193,1153301;0.00304812193
1	471.466522	4	3610.10547	45930	675501;0.00260901451,679501;0.00260901451,1140501;0.000440239906,1153301;0.000440239906
2	471.467285	4	3610.54907	147728	675501;0.00304812193,679501;0.00304812193,1140501;0,1153301;0

0	492.314026	2	3609.92188	61206	930301;0.0357053876,1143501;0.0576700568
1	492.31192	2	3610.09082	46540	930301;0,1143501;0.0227779746
2	492.314758	2	3609.229	42754	930301;0.0227779746,1143501;0

0	573.816467	4	3618.32422	197626	10701;0,28001;0,614001;0.0394949317
1	573.818054	4	3615.77686	343840	10701;0,28001;0.00324970484,614001;0.0363634229
2	573.819763	4	3611.76099	284238	10701;0.0363634229,28001;0,614001;0

0	616.354431	2	3613.33008	1472908	9501;0,506701;0.0291203856,510201;0.0291203856,619101;0.0681100488,692601;0
1	616.355347	2	3615.8291	1695372	9501;0,506701;0,510201;0,619101;0.0401591063,692601;0.0291203856
1	616.353882	2	3613.56567	1238288	9501;0.0182672143,506701;0.0468556285,510201;0.0468556285,619101;0.0587100983,692601;0.0182672143
2	616.357483	2	3611.97949	2379016	9501;0.0401591063,506701;0.0401591063,510201;0,619101;0,692601;0.0681100488

0	615.853027	2	3615.1853	2207490	8901;0.000177264214
1	615.853149	2	3614.03271	1139648	8901;0
2	615.855896	2	3609.71191	1372014	8901;0
2	615.857178	2	3611.97607	3473052	8901;0.189884007

0	735.912537	2	3615.91748	594264	613101;0.094707787
1	735.914368	2	3612.11157	702922	613101;0.0564907789
2	735.91803	2	3608.70728	733808	613101;0
2	735.917969	2	3608.70728	728984	613101;0.289480984

0	737.327148	3	3614.23267	69088	8001;0,613102;0.206787705
1	737.333252	3	3612.97314	15758	8001;0.20243597,613102;0.00545626879
2	737.334473	3	3610.27759	14592	8001;0.206787705,613102;0

0	741.023132	3	3616.18066	2283870	12801;0,24901;0.00103980303,672501;0,1156701;0.215193868
1	741.023071	3	3616.88086	1196618	12801;0,24901;0,672501;0.00103980303,1156701;0.214376986
2	741.025269	3	3609.55029	817440	12801;0,24901;0.214376986,672501;0.215193868,1156701;0

0	783.37262	2	3632.42676	369220	4701;0,39901;0,614501;0.0247430205,933701;0.00716328621
1	783.373413	2	3626.2981	425758	4701;0.00716328621,39901;0,614501;0.017706573,933701;0
2	783.375122	2	3619.26685	395186	4701;0.0247430205,39901;0.017706573,614501;0,933701;0.017706573

0	782.376465	3	3611.89648	30332	4702;0,614502;0.176502228,680701;0
1	782.378906	3	3607.21631	32176	4702;0.135075986,614502;0.0478957891,680701;0.135075986
2	782.376587	3	3609.12988	76508	4702;0.176502228,614502;0,680701;0.176502228

0	644.867188	2	3608.44043	310538	16901;0
