0 75644 2 75581 -61.6699
0 75644 1 75728 -58.896
1 68862 2 68798 -58.5315
2 68547 2 68674 -58.4369
2 72123 2 72139 -58.3858
1 74114 2 73967 -58.2492
1 71549 1 71612 -58.2397
0 70730 1 70688 -58.1668
0 72310 1 72356 -57.9853
0 70900 2 70898 -57.7004
0 70709 1 70667 -57.3734
0 70373 1 70416 -57.2094
0 75890 1 75854 -56.9424
0 73909 1 73861 -56.7379
1 73985 2 74101 -56.5459
0 66417 0 66492 -56.5043
0 66417 1 66516 -56.4833
0 73733 1 73754 -56.3579
0 67190 1 67250 -56.2541
1 71549 2 71549 -56.2298
2 72172 2 72328 -56.2194
1 71549 0 71633 -56.1486
0 71928 2 71969 -55.9959
0 65478 2 65446 -55.9819
1 68862 0 68735 -55.8663
1 67655 2 67555 -55.7886
1 69113 2 69050 -55.6209
0 75644 0 75581 -55.6109
0 65985 1 66154 -55.603
0 75037 2 75035 -55.458
1 68567 1 68720 -55.4203
1 68168 2 68084 -55.4071
0 72200 2 72137 -55.3031
0 66845 1 66761 -55.2724
2 73628 2 73712 -55.0837
0 69470 2 69407 -54.808
1 67541 2 67566 -54.7677
0 75896 2 75854 -54.7576
0 67507 0 67544 -54.7488
1 67541 1 67479 -54.4546
0 70647 0 71151 -54.4336
1 72683 2 72620 -54.3608
2 73628 1 73712 -54.3532
0 67580 2 67433 -54.2738
0 76065 0 76148 -54.2275
1 68588 2 68546 -54.1238
1 68378 2 68294 -54.106
0 65711 1 65795 -54.0704
1 73985 2 73961 -54.057
0 70604 1 70584 -53.9731
1 71465 2 71423 -53.9063
1 76253 1 76327 -53.859
0 74090 2 73901 -53.8559
0 66068 1 66069 -53.8426
0 75854 1 75833 -53.8147
0 71131 2 71045 -53.7727
1 70940 2 70835 -53.7423
0 66052 1 66077 -53.7252
2 65690 2 65774 -53.6792
0 69303 1 69323 -53.6683
1 69622 2 69518 -53.5943
0 72663 2 72621 -53.5605
0 73743 1 73763 -53.5269
0 65417 2 65417 -53.4958
0 70310 1 70352 -53.4117
1 73985 0 74014 -53.3663
1 76274 2 76274 -53.3365
1 69375 2 69335 -53.2192
0 70762 1 70799 -53.1943
1 67655 0 67638 -53.1771
1 75134 2 75239 -53.1608
1 71549 2 71486 -53.1595
1 75896 1 75959 -53.0802
2 75539 2 75644 -52.9867
0 72434 1 72413 -52.9488
2 65816 2 65879 -52.9112
0 75644 2 75518 -52.7975
0 70688 1 70730 -52.7939
1 65942 2 66320 -52.7096
1 73982 1 74233 -52.6661
1 72620 2 72557 -52.6286
2 74258 2 74491 -52.6204
1 76236 1 76317 -52.5855
1 74114 0 74114 -52.5791
0 65816 1 65858 -52.568
0 74892 1 74955 -52.518
0 73460 2 73377 -52.4959
0 72994 2 72923 -52.4386
2 74825 2 75266 -52.3847
1 73124 2 73061 -52.3438
0 70226 1 70184 -52.2813
0 69386 2 69428 -52.2683
1 70058 2 69911 -52.2221
1 69113 0 69071 -52.1926
1 68567 2 68547 -52.1534
0 75770 1 75816 -52.1458
1 70751 2 70730 -52.1222
0 71507 1 71528 -52.1149
0 70751 0 71255 -52.0722
1 66320 2 66236 -52.0611
0 70814 1 70856 -52.0222
0 73175 1 73243 -52.0141
0 70709 1 71109 -51.9911
1 74363 2 74216 -51.9706
1 67958 2 67853 -51.8713
2 72935 2 73020 -51.8511
1 67958 1 68084 -51.8157
1 76023 2 75917 -51.7926
0 65711 2 66215 -51.7803
1 67160 2 67140 -51.7772
0 73378 1 73360 -51.7498
0 70205 2 70144 -51.7434
1 68168 0 68126 -51.7258
1 70375 2 70333 -51.7228
1 74281 2 74260 -51.7109
0 75890 0 75834 -51.7107
1 72179 2 72095 -51.685
1 67958 2 67916 -51.6769
0 76001 1 76022 -51.6653
0 73743 2 73705 -51.5726
0 76064 2 76064 -51.5527
0 74322 1 74342 -51.4928
0 70667 2 70541 -51.4663
0 70900 1 70877 -51.4468
2 70667 2 71150 -51.4415
1 66467 2 66467 -51.4178
0 66237 1 66259 -51.3814
1 69975 1 70059 -51.3624
0 69303 2 69261 -51.3315
1 70226 2 70142 -51.3181
0 66006 2 66069 -51.2453
0 70217 1 70294 -51.2114
1 74804 2 74808 -51.1812
0 75800 0 75845 -51.1591
0 71148 0 71300 -51.1565
0 65459 2 65522 -51.1532
0 65375 1 65880 -51.1443
0 72978 1 72830 -51.1178
0 75955 1 75978 -51.0969
0 70701 1 70662 -51.0691
0 65963 1 66047 -51.0653
2 72172 2 72244 -51.0634
1 65900 2 65777 -51.0617
0 65417 1 65438 -51.0479
0 72599 1 72536 -51.0336
0 69806 1 69806 -51.0129
0 71297 1 71297 -50.9935
0 76022 1 75980 -50.969
1 74365 2 74279 -50.8976
0 69890 1 69764 -50.853
1 72158 1 72165 -50.853
0 73145 2 73082 -50.828
1 71550 2 71467 -50.8267
0 67475 1 67455 -50.8141
0 67580 1 67538 -50.7995
0 66131 1 66110 -50.7965
0 73796 1 73775 -50.7849
1 67361 1 67425 -50.7609
0 71361 1 71302 -50.7409
1 75792 2 75707 -50.7388
1 69051 2 68988 -50.7214
0 75037 2 75021 -50.7036
1 74027 2 73523 -50.6417
0 74888 1 75351 -50.6413
0 74784 1 74868 -50.6323
0 65354 1 65433 -50.6285
1 70248 2 70247 -50.6164
0 66887 1 66890 -50.5682
2 68756 2 68840 -50.5567
0 68294 2 68336 -50.5495
0 76129 1 76151 -50.5364
0 74238 1 74220 -50.5198
0 68882 1 68861 -50.5
1 69572 1 69716 -50.4904
2 65861 2 65985 -50.4873
1 71549 0 71717 -50.4772
0 65354 1 65417 -50.451
1 75435 1 75497 -50.4146
0 68674 1 68508 -50.3971
1 71951 2 71866 -50.3793
0 69470 1 69386 -50.3783
0 65564 1 65564 -50.3618
1 75896 0 75896 -50.359
0 72513 1 72566 -50.2974
0 67329 2 67244 -50.2929
0 69260 0 69344 -50.2772
2 76109 2 76169 -50.2473
1 69341 2 69311 -50.1843
0 70815 2 71234 -50.1674
1 67307 2 67307 -50.1563
0 69359 1 69371 -50.146
1 68862 1 68756 -50.1455
0 69239 1 69240 -50.1394
0 71593 2 71572 -50.1216
1 67541 0 67507 -50.0777
1 68588 0 68528 -50.0691
0 70857 1 70882 -50.0469
0 71927 2 71948 -50.0233
1 69260 2 69260 -49.9758
0 68924 0 68987 -49.9564
0 75989 0 76104 -49.9253
0 67517 2 67520 -49.9152
0 76065 2 76065 -49.8814
0 65315 1 65335 -49.8792
0 71129 1 71172 -49.8614
0 74132 1 74237 -49.8236
0 70752 2 70793 -49.8229
0 68819 1 68819 -49.818
0 73040 1 73061 -49.812
0 66988 1 67118 -49.8015
1 70173 1 70191 -49.7973
1 69576 1 69630 -49.787
1 70259 2 70179 -49.7813
2 67875 2 67917 -49.7748
1 71949 2 71864 -49.7742
1 72263 1 72294 -49.7343
1 70968 1 71026 -49.7208
1 68567 2 68442 -49.7127
1 67307 0 67328 -49.708
1 72222 2 72267 -49.6809
0 67686 1 67601 -49.6751
2 65855 2 66032 -49.5959
0 69386 1 69470 -49.592
1 65942 2 65776 -49.5873
1 69849 2 69807 -49.5563
0 66719 2 66740 -49.5323
2 70079 2 70583 -49.5271
1 72370 2 72326 -49.4934
0 66488 2 66425 -49.4899
1 70058 0 69995 -49.4841
1 72369 2 72305 -49.4444
0 65737 1 65737 -49.4065
1 74363 2 74300 -49.4029
2 73628 1 73817 -49.3716
1 65942 2 65816 -49.3708
1 66677 2 66656 -49.3561
0 67224 2 67181 -49.3506
1 69974 2 69974 -49.3322
0 68945 1 68966 -49.3135
1 73175 1 73176 -49.2775
0 66972 1 66992 -49.276
0 69323 1 69305 -49.2687
1 75518 2 75413 -49.2684
0 75106 1 75193 -49.2679
1 72474 2 72473 -49.2505
1 66467 0 66446 -49.2358
0 67433 1 67456 -49.2343
0 67100 2 67160 -49.1828
0 68042 2 67979 -49.174
0 68609 1 68672 -49.1442
1 68378 0 68295 -49.1191
2 65995 2 66028 -49.1147
2 70667 1 71298 -49.1073
0 70814 1 70751 -49.1023
2 74183 2 74218 -49.0978
0 70226 1 70625 -49.0971
0 66945 0 67127 -49.079
0 76182 1 76308 -49.075
0 75037 0 75095 -49.0642
1 70919 2 70899 -49.0598
0 70310 0 70373 -49.0446
1 68106 2 68023 -49.0366
1 72683 0 72620 -49.0188
0 70164 1 70163 -48.9989
0 73775 2 73733 -48.9853
0 66484 0 66530 -48.9742
1 75308 2 75183 -48.969
0 65460 1 65418 -48.963
1 67510 2 67470 -48.9615
0 72599 0 72778 -48.9462
0 66551 1 66614 -48.9459
0 68824 1 68841 -48.9256
1 66573 2 66509 -48.9101
1 67004 2 67026 -48.8882
0 72158 2 71990 -48.8852
1 76169 2 76085 -48.8787
1 67181 2 67139 -48.8699
0 69302 1 69365 -48.8493
0 67224 1 67308 -48.8402
0 68231 2 68210 -48.8123
0 75959 2 75980 -48.8061
0 68483 1 67937 -48.806
0 68233 2 68233 -48.8036
1 67454 2 67391 -48.7886
1 66440 1 66452 -48.7845
0 70604 2 70586 -48.7799
0 75182 1 75245 -48.765
1 73985 0 74090 -48.7557
0 69029 0 69111 -48.7511
0 68024 2 68106 -48.7344
0 70730 1 70868 -48.7101
1 75460 1 75540 -48.69
1 71638 2 71579 -48.663
0 70164 1 70226 -48.6486
0 67979 1 67979 -48.6468
1 73348 2 73400 -48.6434
0 75899 0 75917 -48.6345
1 66677 2 65690 -48.6298
0 72663 1 72623 -48.6274
0 67005 1 67095 -48.6055
0 74909 1 74825 -48.6002
0 74510 1 74573 -48.5875
1 67790 2 67769 -48.5844
2 73638 2 73697 -48.5824
0 74892 1 74741 -48.5625
0 71150 1 71171 -48.5541
0 69890 2 69806 -48.5299
0 75897 1 75940 -48.5153
1 74405 2 74384 -48.5148
0 67100 1 67202 -48.5022
1 72179 0 72200 -48.4928
0 75772 0 75855 -48.4922
0 69723 1 69702 -48.4751
0 75955 2 75954 -48.4614
0 65985 1 66056 -48.4288
0 69021 1 68985 -48.4282
0 66006 0 66068 -48.4209
0 68737 1 68718 -48.4043
1 65921 2 65880 -48.3998
0 66417 0 66641 -48.3862
1 69765 2 69765 -48.3785
0 67582 1 67561 -48.3512
0 74972 2 74867 -48.3483
2 72172 0 72310 -48.3292
0 67874 1 67832 -48.3206
0 67916 1 67917 -48.3175
0 66237 0 66270 -48.2944
1 70668 2 70625 -48.2858
2 70037 2 70102 -48.2847
0 71722 2 71744 -48.2532
0 72683 1 72641 -48.238
0 71508 1 71487 -48.2262
1 72594 2 72533 -48.2146
1 68865 2 68819 -48.21
0 76064 1 76127 -48.2034
0 67412 1 67433 -48.1914
0 66111 1 66152 -48.1686
0 65859 2 65942 -48.1585
2 69347 2 69366 -48.1583
1 67874 1 67938 -48.1474
0 70709 1 70604 -48.1424
1 66238 2 65648 -48.1208
0 71297 2 71213 -48.1205
1 74426 2 74342 -48.1118
0 65417 1 65396 -48.0698
1 66238 1 65732 -48.0683
1 72369 0 72348 -48.0581
0 75854 1 75822 -48.0457
0 69477 1 69529 -48.045
1 70262 1 70389 -48.043
0 72137 1 72137 -48.042
1 71364 2 71361 -48.0339
0 67349 1 67391 -48.0211
0 72410 2 72368 -48.0165
0 71150 2 71129 -48.0134
0 75035 1 75098 -48.0091
0 68294 2 68416 -48.0048
1 66194 2 66194 -47.9964
0 70353 1 70310 -47.986
0 76088 1 76109 -47.9671
1 76148 2 76066 -47.9559
0 67308 0 68569 -47.9516
1 66467 2 66404 -47.939
1 72368 1 72431 -47.935
0 75413 2 75371 -47.8931
1 74804 2 74720 -47.892
0 66218 1 66155 -47.8803
0 68063 2 68042 -47.8644
0 71944 1 72060 -47.8615
2 72935 2 72942 -47.8445
1 74367 2 74322 -47.8412
0 67750 1 67791 -47.8173
1 74576 2 74574 -47.8132
0 66215 2 66257 -47.8101
0 66024 1 65959 -47.8067
0 72924 1 72831 -47.7898
1 70478 2 70394 -47.7663
1 68347 1 68386 -47.7649
1 75645 1 75666 -47.7598
1 70709 2 70646 -47.7594
2 69350 2 69388 -47.751
0 66215 1 66299 -47.7457
1 70359 2 70258 -47.7178
0 73460 1 73400 -47.7142
0 76065 1 76107 -47.6998
0 69871 2 69786 -47.6885
1 68822 2 68714 -47.659
0 76106 1 76149 -47.6586
0 70337 1 70258 -47.6389
0 75644 1 75623 -47.6266
1 66313 2 66418 -47.6173
1 66950 2 66866 -47.6161
1 75603 1 75828 -47.5981
1 74006 2 73902 -47.5941
1 75794 2 75749 -47.5909
0 74195 1 74195 -47.5847
1 76295 2 76211 -47.5698
1 69281 2 69239 -47.5684
0 68882 2 68756 -47.5426
0 66407 1 66447 -47.5301
1 71696 2 71634 -47.5257
1 67540 2 67521 -47.5146
0 66988 0 67185 -47.5126
0 75772 1 75791 -47.506
0 65564 1 65669 -47.5021
1 66238 0 65711 -47.4991
0 75036 1 75056 -47.4909
0 69380 1 69545 -47.4901
1 69575 1 70016 -47.4893
0 73713 1 73692 -47.4823
0 70688 2 70688 -47.4804
0 66783 1 66741 -47.4786
1 68611 1 68714 -47.4724
0 68316 1 68357 -47.4618
1 74490 2 74406 -47.4567
0 75203 1 75287 -47.4447
1 65942 0 65816 -47.4356
1 72381 2 72355 -47.4323
0 69491 2 69325 -47.414
1 74027 2 73964 -47.3772
0 67245 2 67286 -47.3557
0 73040 2 73019 -47.3514
2 69680 2 69722 -47.3281
0 65690 1 65671 -47.3258
2 66824 2 66908 -47.3232
0 75539 1 75581 -47.2998
0 70722 2 70799 -47.2815
1 75896 2 75791 -47.2812
0 75648 1 75731 -47.2811
2 65787 2 65884 -47.2618
1 72893 2 72832 -47.2506
0 73378 0 73383 -47.246
0 67602 1 67539 -47.236
1 70128 2 70063 -47.215
0 71634 1 71633 -47.1946
0 67685 1 67706 -47.1656
0 71508 2 71465 -47.155
0 66140 1 66226 -47.1522
1 72852 2 72893 -47.1491
2 68168 2 68231 -47.1417
1 66657 2 66657 -47.1382
1 73103 2 72977 -47.1347
1 65728 2 65656 -47.1326
0 65737 1 65799 -47.1319
1 67770 2 67709 -47.0887
0 66152 2 66698 -47.0841
0 72641 2 72579 -47.0822
1 70794 1 70857 -47.0737
1 69155 1 69261 -47.0717
1 67541 0 67605 -47.0689
0 70787 1 70870 -47.0586
0 72286 1 72264 -47.0571
0 71048 1 71048 -47.0538
0 67812 2 67750 -47.0472
0 70167 2 70082 -47.0453
0 70816 2 70772 -47.0413
1 74111 2 74006 -47.0398
1 73298 1 73303 -47.0237
0 72574 2 72616 -47.0144
0 65669 2 65586 -47.0035
0 75838 2 75779 -46.9889
0 66887 0 66971 -46.9595
1 69975 0 70079 -46.9476
1 74321 2 74237 -46.947
0 66719 1 66824 -46.9434
0 75632 1 75766 -46.9429
0 69470 0 69387 -46.939
0 74323 1 74279 -46.9326
0 70669 1 70626 -46.9281
0 65396 1 65376 -46.8736
0 70635 1 70419 -46.8728
0 66488 1 66509 -46.8693
0 73743 0 73781 -46.8506
0 66404 1 66699 -46.8452
1 66048 2 66005 -46.8446
0 67182 1 67245 -46.842
0 66484 0 66516 -46.8217
1 66528 2 66455 -46.8065
2 70667 0 70751 -46.792
0 68988 1 69008 -46.7857
0 72537 1 72497 -46.7816
1 70646 2 70584 -46.7812
0 73263 2 73547 -46.7802
0 67981 1 67980 -46.7523
0 66656 1 66740 -46.7376
0 73088 1 73068 -46.7239
0 67268 1 67288 -46.7204
2 71631 2 71745 -46.7084
0 72244 1 72204 -46.7032
0 65250 2 65712 -46.6995
0 70494 1 70507 -46.6949
1 75792 0 75770 -46.6782
1 67154 2 67207 -46.6768
0 65379 2 65420 -46.6755
0 65251 0 65386 -46.6729
0 69908 1 69965 -46.6679
0 66216 2 66677 -46.6616
1 75183 2 75078 -46.6584
1 72474 0 72453 -46.6569
0 65438 1 65439 -46.6552
0 66909 1 66972 -46.6541
0 75939 1 75960 -46.6487
2 69705 2 69712 -46.631
0 66930 1 66845 -46.6296
1 65648 2 65545 -46.6194
0 68067 1 68022 -46.6175
2 70667 0 70814 -46.6174
1 67244 1 67748 -46.6066
0 70101 2 70083 -46.5919
1 67328 1 68571 -46.5868
2 67047 2 67173 -46.5827
0 67875 2 67855 -46.5627
0 75707 1 75688 -46.5478
0 73987 1 74028 -46.546
1 72872 2 72831 -46.5346
0 67202 1 67076 -46.534
0 67664 0 67748 -46.5256
1 66573 0 66552 -46.5236
1 65900 0 65818 -46.5205
0 65377 1 65377 -46.5012
1 71364 2 71285 -46.4851
2 72180 2 72264 -46.4632
0 74428 1 74384 -46.4434
0 73222 2 73293 -46.4308
1 67895 2 67854 -46.4221
0 71025 1 71024 -46.4125
1 66636 2 66551 -46.4121
0 68042 2 67875 -46.4083
0 69386 2 69344 -46.4064
1 66215 2 66131 -46.3798
1 75518 0 75455 -46.3758
1 68210 2 68148 -46.3579
1 74365 2 74464 -46.3534
0 70226 0 70667 -46.352
0 68409 1 68379 -46.3498
1 68680 1 68758 -46.346
0 73986 1 73922 -46.3073
0 67580 0 67475 -46.3062
0 69303 2 69323 -46.2655
1 69765 0 69745 -46.2496
0 68231 1 68252 -46.2278
2 74183 1 74282 -46.2141
1 70058 0 69933 -46.2141
0 70165 1 70142 -46.2111
0 67664 2 67685 -46.1973
0 66484 1 66488 -46.1887
1 67790 1 67707 -46.1753
0 65478 1 65474 -46.1568
1 74804 2 74708 -46.1564
0 67182 2 67142 -46.1377
0 66467 2 66553 -46.1364
1 69075 1 69304 -46.1198
1 67790 2 67643 -46.1171
1 71675 2 71654 -46.1136
0 75036 2 74910 -46.1122
1 67183 2 67165 -46.1101
0 74322 1 74259 -46.1081
0 71192 1 71255 -46.1062
2 70667 1 70710 -46.104
0 65879 1 65839 -46.1022
1 65943 2 65963 -46.0992
0 72032 2 72011 -46.0969
1 69281 0 69302 -46.0794
1 69622 0 69499 -46.0473
0 73104 2 72998 -46.0436
2 66200 2 66300 -46.0424
1 67958 0 68021 -46.0328
0 72135 0 72138 -45.9998
1 66657 0 66614 -45.9954
1 70270 2 70331 -45.9857
1 75624 2 75582 -45.9751
0 68945 1 68903 -45.9713
1 70359 0 70317 -45.9544
1 67181 0 67097 -45.939
0 68042 0 67979 -45.9386
0 70217 2 70276 -45.9373
1 69113 2 69277 -45.9307
0 70688 1 70668 -45.9164
0 68443 1 68446 -45.8835
0 66069 2 66090 -45.8831
1 70312 2 70248 -45.8829
0 66658 1 66661 -45.8792
2 72935 2 73136 -45.879
0 74519 1 74538 -45.8617
1 72265 2 72140 -45.8613
0 67187 1 67142 -45.8512
2 74825 0 75329 -45.83
0 72608 1 72648 -45.8205
0 74909 0 74846 -45.7908
0 71507 1 71465 -45.7826
0 75759 2 75701 -45.7824
0 65929 1 66007 -45.7808
0 68696 1 68735 -45.7668
0 65963 1 65985 -45.7558
1 75014 2 74405 -45.7475
0 72410 0 72347 -45.7349
0 75959 0 76022 -45.7333
0 70163 2 70100 -45.7303
0 69890 0 69806 -45.7265
0 68924 1 69029 -45.7249
0 73986 2 73840 -45.7232
1 72222 2 72144 -45.7181
0 72621 1 72579 -45.7101
1 71682 2 71658 -45.7065
0 72513 0 72708 -45.688
0 73775 1 73734 -45.688
0 72494 1 72515 -45.6862
0 67295 1 66901 -45.6817
0 69380 2 69254 -45.6741
0 67224 1 67749 -45.6637
1 67727 2 67665 -45.6567
0 69849 1 69853 -45.6542
0 67517 1 67518 -45.6522
1 73002 2 72914 -45.6333
1 67035 2 66951 -45.6199
1 70940 0 70835 -45.618
1 71573 2 71488 -45.5839
1 76233 2 76148 -45.5829
1 73004 1 73062 -45.5608
2 72347 2 72452 -45.5553
1 76106 2 76002 -45.5551
0 70840 1 70819 -45.5509
0 70458 2 70520 -45.5491
0 68505 1 68504 -45.5237
1 68567 0 68674 -45.521
